Grown ^vprf+++xvbn+=GROWN-UP
been ^vprf+ben+vrb+xvbnx+=been
laboriously ^rb++++=laboriously
framing ^nvbg+++xvbg+=framing.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
distraught ^j+++xvbn+=distraught
and ^cc+phrs+++=and
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^ap+down+++=only
heard ^vprf+++xvbn+=heard
the ^ati++++=the
march ^nr++++=march-music
- ^zz++++=EXTRAWORD
music ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
band ^nn++++=band,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
on ^in+ppvb+++=on
in ^in++++=in
some ^dti++++=some
corner ^nn++++=corner
of ^in++++=of
my ^pp$+pp1+++=my
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
at ^rb++++=at
last ^rb"++++=last
my ^pp$+pp1+++=my
head ^jjb++++=head
touched ^jj+++xvbn+=touched
the ^ati++++=the
pillow ^nn++++=pillow,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
trice ^nn++++=trice
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
with ^in++++=with
Zephyrine ^np+++??+=Zephyrine,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
the ^ati++++=the
boundless ^jj+atrb+++=boundless
Sahara ^np++++=Sahara,
, ^zz++++=EXTRAWORD
cheek ^nn++++=cheek
to ^in++++=to
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
the ^ati++++=the
world ^nn++++=world
well ^rb++++=well
lost ^vbd+++xvbn+=lost;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
sand ^nn++++=sand-clouds
- ^zz++++=EXTRAWORD
clouds ^nns++++=EXTRAWORD
that ^tht+rel+++=that
encircled ^jj+++xvbn+=encircled
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
glimmered ^j+++xvbn+=glimmered
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
Coralie ^np+++??+=Coralie,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
fancied ^jj++++=fancied,
, ^zz++++=EXTRAWORD
with ^in++++=with
something ^pn++++=something
of ^in++++=of
a ^at++++=a
tender ^jj+atrb+++=tender
reproach ^nn++++=reproach.
. ^zz++++=EXTRAWORD
